index,id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,genre_split,country
1283,ts53664,Fauda,SHOW,2015,TV-MA,40,"['war', 'thriller', 'action', 'drama']",['IL'],3.0,tt4565380,8.3,25239.0,thriller,IL
1283,ts53664,Fauda,SHOW,2015,TV-MA,40,"['war', 'thriller', 'action', 'drama']",['IL'],3.0,tt4565380,8.3,25239.0,action,IL
1283,ts53664,Fauda,SHOW,2015,TV-MA,40,"['war', 'thriller', 'action', 'drama']",['IL'],3.0,tt4565380,8.3,25239.0,drama,IL
1286,ts42022,El marginal,SHOW,2016,TV-MA,54,"['crime', 'drama', 'action', 'thriller']",['AR'],5.0,tt5820976,8.2,3799.0,crime,AR
1286,ts42022,El marginal,SHOW,2016,TV-MA,54,"['crime', 'drama', 'action', 'thriller']",['AR'],5.0,tt5820976,8.2,3799.0,drama,AR
1286,ts42022,El marginal,SHOW,2016,TV-MA,54,"['crime', 'drama', 'action', 'thriller']",['AR'],5.0,tt5820976,8.2,3799.0,action,AR
1286,ts42022,El marginal,SHOW,2016,TV-MA,54,"['crime', 'drama', 'action', 'thriller']",['AR'],5.0,tt5820976,8.2,3799.0,thriller,AR
1287,ts38415,Frontier,SHOW,2016,TV-MA,46,"['action', 'drama', 'history']",['CA'],3.0,tt4686698,7.1,20706.0,action,CA
1287,ts38415,Frontier,SHOW,2016,TV-MA,46,"['action', 'drama', 'history']",['CA'],3.0,tt4686698,7.1,20706.0,drama,CA
1287,ts38415,Frontier,SHOW,2016,TV-MA,46,"['action', 'drama', 'history']",['CA'],3.0,tt4686698,7.1,20706.0,history,CA
1289,ts43209,The Cuba Libre Story,SHOW,2015,TV-14,45,"['documentation', 'history', 'european']",['DE'],2.0,tt5319838,7.6,1583.0,documentation,DE
1289,ts43209,The Cuba Libre Story,SHOW,2015,TV-14,45,"['documentation', 'history', 'european']",['DE'],2.0,tt5319838,7.6,1583.0,history,DE
1289,ts43209,The Cuba Libre Story,SHOW,2015,TV-14,45,"['documentation', 'history', 'european']",['DE'],2.0,tt5319838,7.6,1583.0,european,DE
1291,ts42169,ERASED,SHOW,2016,TV-14,22,"['drama', 'animation', 'fantasy', 'scifi', 'thriller']",['JP'],1.0,tt5249462,8.5,42699.0,drama,JP
1291,ts42169,ERASED,SHOW,2016,TV-14,22,"['drama', 'animation', 'fantasy', 'scifi', 'thriller']",['JP'],1.0,tt5249462,8.5,42699.0,animation,JP
1291,ts42169,ERASED,SHOW,2016,TV-14,22,"['drama', 'animation', 'fantasy', 'scifi', 'thriller']",['JP'],1.0,tt5249462,8.5,42699.0,fantasy,JP
1291,ts42169,ERASED,SHOW,2016,TV-14,22,"['drama', 'animation', 'fantasy', 'scifi', 'thriller']",['JP'],1.0,tt5249462,8.5,42699.0,scifi,JP
1291,ts42169,ERASED,SHOW,2016,TV-14,22,"['drama', 'animation', 'fantasy', 'scifi', 'thriller']",['JP'],1.0,tt5249462,8.5,42699.0,thriller,JP
1292,ts41289,Flowers,SHOW,2016,TV-14,25,"['drama', 'comedy', 'european']",['GB'],2.0,tt5619658,8.1,5468.0,drama,GB
1292,ts41289,Flowers,SHOW,2016,TV-14,25,"['drama', 'comedy', 'european']",['GB'],2.0,tt5619658,8.1,5468.0,comedy,GB
